date,cumulative_cases,adjusted_cumulative_cases,recoveries,deaths_daily,cumulative_deaths,active_cases,week_label,week_no,cumulative_tests,tests_daily,cases_daily,adjusted_cases_daily,perc_positive,test_thousand,weekly_tests,weekly_cases,tests_per_case,seven_day_tests,seven_day_positives,seven_day_average,case_fatality_rate,fatalities_seven_days,fatalities_seven_days_average,public_tests,private_tests,new_public_tests,new_private_tests,7_day_weekly_average,community_sceen_and_test,passive_case_finding,vaccinated_total,vaccinated_daily,non_sisonke_vaccination_total,vaccinated_sisonke,j_and_j,pfizer,vaccinations_7_day_average,fourteen_day_deaths_change,fourteen_day_cases_change,pk
26-02-2022,3671991,0,3539782,46,99191,33018,25Feb-3Mar,104,23053022,33021,2320,0,7.0%,70,,,,192431,14900,7.74%,2.7%,574,3.9%,10542327,12510695,16470,16551,2129,,,31431168,24781,30690385,740783,0,0,67709,-50,-17,724
27-02-2022,3673257,0,3541730,38,99229,32298,25Feb-3Mar,104,23071788,18766,1266,0,6.7%,67,,,,190909,14710,7.71%,2.7%,562,3.8%,10548383,12523405,6056,12710,2101,,,31439128,7960,30698345,740783,0,0,67739,-54,-17,725
28-02-2022,3674042,0,3543109,183,99412,31521,25Feb-3Mar,104,23085457,13669,785,0,5.7%,57,,,,188974,14344,7.59%,2.7%,608,4.2%,10552926,12532531,4543,9126,2049,,,31544594,105466,30803797,740797,0,0,72196,-47,-17,726
01-03-2022,3675691,0,3551039,18,99430,25222,25Feb-3Mar,104,23111817,26360,1649,0,6.3%,63,,,,183560,13660,7.44%,2.7%,562,4.1%,10563123,12548694,10197,16163,1951,,,31652555,107961,30911752,740803,0,0,75624,-45,-21,727
02-03-2022,3677686,0,3552788,28,99458,25440,25Feb-3Mar,104,23138425,26608,1995,0,7.5%,75,,,,174298,12537,7.19%,2.7%,480,3.8%,10572868,12565557,9745,16863,1791,,,31764283,111728,31023470,740813,0,0,77965,-62,-27,728
03-03-2022,3679539,0,3554282,41,99499,25758,25Feb-3Mar,104,23166727,28302,1853,0,6.5%,65,,,,171782,11979,6.97%,2.7%,481,4.0%,10584558,12582169,11690,16612,1711,,,31879613,115330,31138789,740824,0,0,81466,-67,-30,729
04-03-2022,3681437,0,3557369,18,99517,24551,4-10Mar,105,23196880,30153,1898,0,6.3%,63,176879,11766,15,176879,11766,6.65%,2.7%,372,3.2%,10597317,12599563,12759,17394,1681,,,31989917,110304,31249084,740833,0,0,83361,-77,-30,730
05-03-2022,3683172,0,3559951,26,99543,23678,4-10Mar,105,23226664,29784,1735,0,5.8%,58,,,,173642,11181,6.44%,2.7%,352,3.1%,10611503,12615161,14186,15598,1597,,,32018307,28390,31277473,740834,0,0,83877,-79,-33,731
06-03-2022,3684319,0,3560217,0,99543,24559,4-10Mar,105,23245373,18709,1147,0,6.1%,61,,,,173585,11062,6.37%,2.7%,314,2.8%,10618357,12627016,6854,11855,1580,,,32027146,8839,31286312,740834,0,0,84003,-80,-34,732
07-03-2022,3685120,0,3564491,66,99609,21020,4-10Mar,105,23259839,14466,801,0,5.5%,55,,,,174382,11078,6.35%,2.7%,197,1.8%,10624016,12635823,5659,8807,1583,,,32126152,99006,31385303,740849,0,0,83080,-86,-34,733
08-03-2022,3686556,0,3569441,16,99625,17490,4-10Mar,105,23285855,26016,1436,0,5.5%,55,,,,174038,10865,6.24%,2.7%,195,1.8%,10634753,12651102,10737,15279,1552,,,32225496,99344,31484638,740858,0,0,81849,-87,-33,734
09-03-2022,3688423,0,3569538,31,99656,19229,4-10Mar,105,23314522,28667,1867,0,6.5%,65,,,,176097,10737,6.10%,2.7%,198,1.8%,10647817,12666705,13064,15603,1534,,,32322691,97195,31581821,740870,0,0,79773,-81,-31,735
10-03-2022,3690291,0,3571758,25,99681,18852,4-10Mar,105,23343250,28728,1868,0,6.5%,65,,,,176523,10752,6.09%,2.7%,182,1.7%,10661487,12681763,13670,15058,1536,,,32421223,98532,31680349,740874,0,0,77373,-79,-28,736
11-03-2022,3691961,0,3572534,28,99709,19718,11-17Mar,106,23365475,22225,1670,0,7.5%,75,168595,10524,16,168595,10524,6.24%,2.7%,192,1.8%,10672654,12692821,11164,11058,1503,,,32517834,96611,31776957,740877,0,0,75417,-67,-29,737
12-03-2022,3693532,0,3573469,3,99712,20351,11-17Mar,106,23392502,27027,1571,0,5.8%,58,,,,165838,10360,6.25%,2.7%,169,1.6%,10684152,12708350,11498,15529,1480,,,32540997,23163,31800119,740878,0,0,74670,-70,-30,738
13-03-2022,3694504,0,3576438,13,99725,18341,11-17Mar,106,23410199,17697,972,0,5.5%,55,,,,164826,10185,6.18%,2.7%,182,1.8%,10690884,12719315,6732,10965,1455,,,32548342,7345,31807464,740878,0,0,74457,-70,-29,739
14-03-2022,3695175,0,3557338,0,99725,38112,11-17Mar,106,23424639,14440,671,0,4.6%,46,,,,164800,10055,6.10%,2.7%,116,1.2%,10696290,12728349,5406,9034,1436,,,32630886,82544,31890003,740883,0,0,72105,-79,-26,740
15-03-2022,3696823,0,3578877,2,99727,18219,11-17Mar,106,23452959,28320,1648,0,5.8%,58,,,,167104,10267,6.14%,2.7%,102,1.0%,10710497,12742462,14207,14113,1467,,,32722417,91531,31981531,740886,0,0,70989,-79,-18,741
16-03-2022,3698802,0,3584293,40,99767,14742,11-17Mar,106,23485052,32093,1979,0,6.2%,62,,,,170530,10379,6.09%,2.7%,111,1.1%,10727057,12759995,14560,17533,1483,,,32817492,95075,32076591,740901,0,0,70686,-77,-13,742
17-03-2022,3700484,0,3585603,62,99829,15052,11-17Mar,106,23514233,29181,1682,0,5.8%,58,,,,170983,10193,5.96%,2.7%,148,1.5%,10737213,12777020,12156,17025,1456,,,32903329,85837,32162416,740913,0,0,68872,-60,-13,743
18-03-2022,3702042,0,3587145,39,99868,15029,18-24Mar,107,23543564,29331,1558,0,5.3%,53,178089,10081,18,178089,10081,5.66%,2.7%,159,1.6%,10750138,12793426,12925,16406,1440,,,32987853,84524,32246926,740927,0,0,67146,-55,-10,744
19-03-2022,3703329,0,3588264,11,99879,15186,18-24Mar,107,23569125,25561,1287,0,5.0%,50,,,,176623,9797,5.55%,2.7%,167,1.7%,10760238,12808887,10100,15461,1400,,,33008136,20283,32267209,740927,0,0,66734,-47,-11,745
20-03-2022,3704218,0,3589451,2,99881,14886,18-24Mar,107,23585561,16436,889,0,5.4%,54,,,,175362,9714,5.54%,2.7%,156,1.6%,10765912,12819649,10762,5674,1388,,,33014381,6245,32273454,740927,0,0,66577,-21,-12,746
21-03-2022,3704784,0,3590266,9,99890,14628,18-24Mar,107,23599964,14403,566,0,3.9%,39,,,,175325,9609,5.48%,2.7%,165,1.7%,10771766,12828198,5854,8549,1373,,,33023123,8742,32282196,740927,0,0,56034,-15,-12,747
22-03-2022,3705696,0,3591573,3,99893,14230,18-24Mar,107,23619340,19376,912,0,4.7%,47,,,,166381,8873,5.33%,2.7%,166,1.9%,10780871,12838469,9105,10271,1268,,,33105213,82090,32364272,740941,0,0,54685,-16,-17,748
23-03-2022,3707089,0,3594194,6,99899,12996,18-24Mar,107,23643793,24453,1393,0,5.7%,57,,,,158741,8287,5.22%,2.7%,132,1.6%,10790389,12853404,9518,14935,1184,,,33201427,96214,32460479,740948,0,0,54848,-27,-23,749
24-03-2022,3709206,0,3595512,33,99932,13762,18-24Mar,107,23676087,32294,2117,0,6.6%,66,,,,161854,8722,5.39%,2.7%,103,1.2%,10805887,12870200,15498,16796,1246,,,33296217,94790,32555263,740954,0,0,56127,-46,-17,750
25-03-2022,3710766,0,3596991,7,99939,13836,25-31Mar,108,23701064,24977,1560,0,6.2%,62,157500,8724,18,157500,8724,5.54%,2.7%,71,0.8%,10818092,12882972,12205,12772,1246,,,33379248,83031,32638280,740968,0,0,55914,-58,-16,751
26-03-2022,3712263,0,3597725,26,99965,14573,25-31Mar,108,23727513,26449,1497,0,5.7%,57,,,,158388,8934,5.64%,2.7%,86,1.0%,10829001,12898512,10909,15540,1276,,,33400227,20979,32659253,740974,0,0,56013,-53,-12,752
27-03-2022,3713252,0,3599563,1,99966,13723,25-31Mar,108,23744362,16849,989,0,5.9%,59,,,,158801,9034,5.69%,2.7%,85,0.9%,10835015,12909347,6014,10835,1291,,,33405701,5474,32664727,740974,0,0,55903,-27,-10,753
28-03-2022,3713833,0,3600227,4,99970,13636,25-31Mar,108,23757304,12942,581,0,4.5%,45,,,,157340,9049,5.75%,2.7%,80,0.9%,10839799,12917505,4784,8158,1293,,,33485691,79990,32744711,740980,0,0,66081,-22,-12,754
29-03-2022,3715388,0,3602251,6,99976,13161,25-31Mar,108,23783240,25936,1555,0,6.0%,60,,,,163900,9692,5.91%,2.7%,83,0.9%,10851357,12931883,11558,14378,1385,,,33569841,84150,32828850,740991,0,0,66375,-25,-7,755
30-03-2022,3717065,0,3603348,44,100020,13697,25-31Mar,108,23809344,26104,1677,0,6.4%,64,,,,165551,9976,6.03%,2.7%,121,1.2%,10863147,12946197,11790,14314,1425,,,33656772,86931,32915774,740998,0,0,65049,-18,-2,756
31-03-2022,3718953,0,3603821,12,100032,15100,25-31Mar,108,23838911,29567,1888,0,6.4%,64,,,,162824,9747,5.99%,2.7%,100,1.0%,10878461,12960450,15314,14253,1392,,,33738165,81393,32997143,741022,0,0,63135,-37,-3,757
01-04-2022,3720645,0,3608072,10,100042,12531,1-7Apr,109,23866743,27832,1692,0,6.1%,61,165679,9879,17,165679,9879,5.96%,2.7%,103,1.0%,10892655,12974088,14194,13638,1411,,,33804239,66074,33063220,741019,0,0,60713,-38,1,758
02-04-2022,3722065,0,3609277,4,100046,12742,1-7Apr,109,23893013,26270,1420,0,5.4%,54,,,,165500,9802,5.92%,2.7%,81,0.8%,10904106,12988907,11451,14819,1400,,,33818517,14278,33077498,741019,0,0,59756,-48,1,759
03-04-2022,3722954,0,3611123,4,100050,11781,1-7Apr,109,23909698,16685,889,0,5.3%,53,,,,165336,9702,5.87%,2.7%,84,0.9%,10910222,12999476,6116,10569,1386,,,33821204,2687,33080185,741019,0,0,59358,-49,1,760
04-04-2022,3723639,0,3612081,2,100052,11506,1-7Apr,109,23922395,12697,685,0,5.4%,54,,,,165091,9806,5.94%,2.7%,82,0.8%,10914733,13007662,4511,8186,1401,,,33875176,53972,33134155,741021,0,0,55641,-51,11,761
05-04-2022,3725176,0,3613688,15,100067,11421,1-7Apr,109,23947309,24914,1537,0,6.2%,62,,,,164069,9788,5.97%,2.7%,91,0.9%,10925730,13021579,10997,13917,1398,,,33931060,55884,33190031,741029,0,0,51603,-31,18,762
06-04-2022,3727208,0,3614509,3,100070,12629,1-7Apr,109,23971040,23731,2032,0,8.6%,86,,,,161696,10143,6.27%,2.7%,50,0.5%,10936295,13034745,10565,13166,1449,,,33991918,60858,33250873,741045,0,0,47878,-51,16,763
07-04-2022,3728689,0,3615531,5,100075,13083,1-7Apr,109,23996380,25340,1481,0,5.8%,58,,,,157469,9736,6.18%,2.7%,43,0.4%,10948475,13047905,12180,13160,1391,,,34054426,62508,33313370,741056,0,0,45180,-39,12,764
08-04-2022,3730064,0,3617624,9,100084,12356,8-14Apr,110,24019672,23292,1375,0,5.9%,59,152929,9419,16,152929,9419,6.16%,2.7%,42,0.4%,10959805,13059867,11330,11962,1346,,,34054426,0,33313370,741056,0,0,35741,-51,5,765
09-04-2022,3731247,0,3618708,12,100096,12443,8-14Apr,110,24044412,24740,1183,0,4.8%,48,,,,151399,9182,6.06%,2.7%,50,0.5%,10970208,13074204,10403,14337,1312,,,34118324,63898,33377268,741056,0,0,42830,-41,2,766
10-04-2022,3732075,0,3619311,0,100096,12668,8-14Apr,110,24060151,15739,828,0,5.3%,53,,,,150453,9121,6.06%,2.7%,46,0.5%,10975858,13084293,5650,10089,1303,,,34146981,28657,33405906,741075,0,0,46540,-43,1,767
11-04-2022,3732628,0,3621083,2,100098,11447,8-14Apr,110,24071305,11154,553,0,5.0%,50,,,,148910,8989,6.04%,2.7%,46,0.5%,10980037,13091268,4179,6975,1284,,,34195988,49007,33454898,741090,0,0,45830,-45,-7,768
12-04-2022,3733919,0,3622097,18,100116,11706,8-14Apr,110,24094335,23030,1291,0,5.6%,56,,,,147026,8743,5.95%,2.7%,49,0.6%,10990101,13104234,10064,12966,1249,,,34253459,57471,33512367,741092,0,0,46057,-60,-12,769
13-04-2022,3735578,0,3624451,16,100132,10995,8-14Apr,110,24116414,22079,1659,0,7.5%,75,,,,145374,8370,5.76%,2.7%,62,0.7%,10999192,13117222,9091,12988,1196,,,34309973,56514,33568816,741157,0,0,45436,-38,-14,770
14-04-2022,3737346,0,3625407,6,100138,11801,8-14Apr,110,24139799,23385,1768,0,7.6%,76,,,,143419,8657,6.04%,2.7%,63,0.7%,11009114,13130685,9922,13463,1237,,,34350797,40824,33609624,741173,0,0,42339,-39,-12,771
15-04-2022,3739192,0,3626109,4,100142,12941,15-21Apr,111,24161679,21880,1846,0,8.4%,84,142007,9128,16,142007,9128,6.43%,2.7%,58,0.6%,11017289,13144390,8175,13705,1304,,,34354814,4017,33613640,741174,0,0,42913,-28,-7,772
16-04-2022,3740398,0,3627200,2,100144,13054,15-21Apr,111,24179126,17447,1206,0,6.9%,69,,,,134714,9151,6.79%,2.7%,48,0.5%,11025638,13153488,8349,9098,1307,,,34360147,5333,33618972,741175,0,0,34546,-43,-6,773
17-04-2022,3741230,0,3627594,3,100147,13489,15-21Apr,111,24189010,9884,832,0,8.4%,84,,,,128859,9155,7.10%,2.7%,51,0.6%,11029433,13159577,3795,6089,1308,,,34362003,1856,33620826,741177,0,0,30717,-38,-7,774
18-04-2022,3742107,0,3627969,34,100181,13957,15-21Apr,111,24198159,9149,877,0,9.6%,96,,,,126854,9479,7.47%,2.7%,83,0.9%,11033079,13165080,3646,5503,1354,,,34366442,4439,33625264,741178,0,0,24351,-9,-3,775
19-04-2022,3743578,0,3628776,14,100195,14607,15-21Apr,111,24212994,14835,1471,0,9.9%,99,,,,118659,9659,8.14%,2.7%,79,0.8%,11039688,13173306,6609,8226,1380,,,34413466,47024,33672276,741190,0,0,22858,58,-5,776
20-04-2022,3746424,0,3630033,16,100211,16180,15-21Apr,111,24234233,21239,2846,0,13.4%,134,,,,117819,10846,9.21%,2.7%,79,0.7%,11047364,13186869,7676,13563,1549,,,34469342,55876,33728095,741247,0,0,22767,84,11,777
21-04-2022,3750830,0,3631082,65,100276,19472,15-21Apr,111,24262108,27875,4406,0,15.8%,158,,,,122309,13484,11.02%,2.7%,138,1.0%,11058400,13203708,11036,16839,1926,,,34526599,57257,33785345,741254,0,0,25115,229,43,778
22-04-2022,3755459,0,3632282,10,100286,22891,22-28Apr,112,24288173,26065,4629,0,17.8%,178,126494,16267,8,126494,16267,12.86%,2.7%,144,0.9%,11070146,13218027,11746,14319,2324,,,34583587,56988,33842319,741268,0,0,32682,188,77,779
23-04-2022,3759689,0,3632572,12,100298,26819,22-28Apr,112,24313334,25161,4230,0,16.8%,168,,,,134208,19291,14.37%,2.7%,154,0.8%,11080579,13232755,10433,14728,2756,,,34596427,12840,33855157,741270,0,0,33754,235,112,780
24-04-2022,3762911,0,3633297,5,100303,29311,22-28Apr,112,24332659,19325,3222,0,16.7%,167,,,,143649,21681,15.09%,2.7%,156,0.7%,11088430,13244229,7851,11474,3097,,,34600601,4174,33859331,741270,0,0,34085,239,141,781
25-04-2022,3764865,0,3634446,30,100333,30086,22-28Apr,112,24342803,10144,1954,0,19.3%,193,,,,144644,22758,15.73%,2.7%,152,0.7%,11092009,13250794,3579,6565,3251,,,34659733,59132,33918457,741276,0,0,41899,210,160,782
26-04-2022,3769927,0,3635429,15,100348,34150,22-28Apr,112,24370285,27482,5062,0,18.4%,184,,,,157291,26349,16.75%,2.7%,153,0.6%,11103638,13266647,11629,15853,3764,,,34726984,67251,33985693,741291,0,0,44788,147,215,783
27-04-2022,3776298,0,3638087,3,100351,37860,22-28Apr,112,24400471,30186,6371,0,21.1%,211,,,,166238,29874,17.97%,2.7%,140,0.5%,11115598,13284873,11960,18226,4268,,,34739327,12343,33998034,741293,0,0,38569,122,245,784
28-04-2022,3780444,0,3640571,4,100355,39518,22-28Apr,112,24423181,22710,4146,0,18.3%,183,,,,161073,29614,18.39%,2.7%,79,0.3%,11125788,13297393,10190,12520,4231,,,34806757,67430,34065461,741296,0,0,40023,36,224,785
29-04-2022,3785398,0,3646241,5,100360,38797,29Apr-6May,113,24445151,21970,4954,0,22.5%,225,156978,29939,5,156978,29939,19.07%,2.7%,74,0.2%,11134507,13310644,8719,13251,4277,,,34864969,58212,34123670,741299,0,0,40197,54,227,786
30-04-2022,3791925,0,3648831,3,100363,42731,29Apr-6May,113,24475485,30334,6527,0,21.5%,215,,,,162151,32236,19.88%,2.6%,65,0.2%,11146398,13329087,11891,18443,4605,,,34877539,12570,34136240,741299,0,0,40159,27,252,787
01-05-2022,3795763,0,3650115,0,100363,45285,29Apr-6May,113,24492958,17473,3838,0,22.0%,220,,,,160299,32852,20.49%,2.6%,60,0.2%,11152353,13340605,5955,11518,4693,,,34881319,3780,34140019,741300,0,0,40103,-28,247,788
02-05-2022,3798413,0,3651665,7,100370,46378,29Apr-6May,113,24505584,12626,2650,0,21.0%,210,,,,162781,33548,20.61%,2.6%,37,0.1%,11156834,13348750,4481,8145,4793,,,34887157,5838,34145857,741300,0,0,32489,-53,247,789
03-05-2022,3802198,0,3661635,7,100377,40186,29Apr-6May,113,24527102,21518,3785,0,17.6%,176,,,,156817,32271,20.58%,2.6%,29,0.1%,11166946,13360156,10112,11406,4610,,,34941461,54304,34200153,741308,0,0,30640,-63,198,790
04-05-2022,3808368,0,3663153,30,100407,44808,29Apr-6May,113,24554412,27310,6170,0,22.6%,226,,,,153941,32070,20.83%,2.6%,56,0.2%,11175726,13378686,8780,18530,4581,,,34999285,57824,34257970,741315,0,0,37137,-59,138,791
05-05-2022,3818125,0,3668982,64,100471,48672,29Apr-6May,113,24592030,37618,9757,0,25.9%,259,,,,168849,37681,22.32%,2.6%,116,0.3%,11189636,13402394,13910,23708,5383,,,35058457,59172,34317101,741356,0,0,35957,-19,132,792
06-05-2022,3827378,0,3673270,34,100505,53603,7-13May,114,24626847,34817,9253,0,26.6%,266,181696,41980,4,181696,41980,23.10%,2.6%,145,0.3%,11203280,13423567,13644,21173,5997,,,35112052,53595,34370662,741390,0,0,35298,-6,118,793
07-05-2022,3835902,0,3676810,11,100516,58576,7-13May,114,24654271,27424,8524,0,31.1%,311,,,,178786,43977,24.60%,2.6%,153,0.3%,11215530,13438741,12250,15174,6282,,,35124794,12742,34383403,741391,0,0,35322,-2,103,794
08-05-2022,3841388,0,3679053,7,100523,61812,7-13May,114,24675963,21692,5486,0,25.3%,253,,,,183005,45625,24.93%,2.6%,160,0.4%,11222906,13453057,7376,14316,6518,,,35128412,3618,34387021,741391,0,0,35299,5,100,795
09-05-2022,3844625,0,3680855,10,100533,63237,7-13May,114,24693273,17310,3237,0,18.7%,187,,,,187689,46212,24.62%,2.6%,163,0.4%,11229016,13464257,6110,11200,6602,,,35182056,53644,34440655,741401,0,0,42128,7,75,796
10-05-2022,3852148,0,3685196,26,100559,66393,7-13May,114,24726029,32756,7523,0,23.0%,230,,,,198927,49950,25.11%,2.6%,182,0.4%,11242804,13483225,13788,18968,7136,,,35243240,61184,34501839,741401,0,0,43111,30,67,797
11-05-2022,3862165,0,3691684,50,100609,69872,7-13May,114,24765642,39613,10017,0,25.3%,253,,,,211230,53797,25.47%,2.6%,202,0.4%,11258943,13506699,16139,23474,7685,,,35307618,64378,34566202,741416,0,0,44048,156,82,798
12-05-2022,3871085,0,3696731,21,100630,73724,7-13May,114,24804199,38557,8920,0,23.1%,231,,,,212169,52960,24.96%,2.6%,159,0.3%,11275933,13528266,16990,21567,7566,,,35370563,62945,34629137,741426,0,0,44587,115,77,799
13-05-2022,3879434,0,3702416,114,100744,76274,14-20May,115,24841314,37115,8349,0,22.5%,225,214467,52056,4,214467,52056,24.27%,2.6%,239,0.5%,11292267,13549047,16334,20781,7437,,,35425251,54688,34683812,741439,0,0,44743,268,61,800
14-05-2022,3887449,0,3708347,9,100753,78349,14-20May,115,24864150,22836,8015,0,35.1%,351,,,,209879,51547,24.56%,2.6%,237,0.5%,0,0,0,0,7364,,,35436933,11682,34695492,741441,0,0,44591,295,57,801
15-05-2022,3891793,0,3710696,2,100755,80342,14-20May,115,24885511,21361,4344,0,20.3%,203,,,,209548,50405,24.05%,2.6%,232,0.5%,0,0,0,0,7201,,,35441399,4466,34699958,741441,0,0,44712,527,50,802
16-05-2022,3894745,0,3713797,16,100771,80177,14-20May,115,24903051,17540,2952,0,16.8%,168,,,,209778,50120,23.89%,2.6%,238,0.5%,11320559,13582492,8205,9335,7160,,,35494610,53211,34753162,741448,0,0,44651,721,55,803
17-05-2022,3899841,0,3720427,41,100812,78602,14-20May,115,24927476,24425,5096,0,20.9%,209,,,,201447,47693,23.68%,2.6%,253,0.5%,11326746,13600730,6187,18238,6813,,,35556934,62324,34815478,741456,0,0,44813,352,49,804
18-05-2022,3908020,0,3726962,55,100867,80191,14-20May,115,24963628,36152,8179,0,22.6%,226,,,,197986,45855,23.16%,2.6%,258,0.6%,11342548,13621080,15802,20350,6551,,,35617595,60661,34876121,741474,0,0,44282,122,22,805
19-05-2022,3915258,0,3733569,31,100898,80791,14-20May,115,24992827,29199,7238,0,24.8%,248,,,,188628,44173,23.42%,2.6%,268,0.6%,11357283,13635544,14735,14464,6310,,,35679922,62327,34938444,741478,0,0,44194,85,5,806
20-05-2022,3921633,0,3739543,18,100916,81174,21-27May,116,25025578,32751,6375,0,19.5%,195,184264,42199,4,184264,42199,22.90%,2.6%,172,0.4%,11374194,13651384,16911,15840,6028,,,35732932,53010,34991454,741478,0,0,43954,12,-4,807
21-05-2022,3926652,0,3766603,15,100931,59118,21-27May,116,25049752,24174,5019,0,20.8%,208,,,,185602,39203,21.12%,2.6%,178,0.5%,0,0,0,0,5600,,,35740663,7731,34999177,741486,0,0,43390,11,-14,808
22-05-2022,3929872,0,3768951,2,100933,59988,21-27May,116,25069012,19260,3220,0,16.7%,167,,,,183501,38079,20.75%,2.6%,178,0.5%,0,0,0,0,5440,,,35744528,3865,35003042,741486,0,0,43304,9,-18,809
23-05-2022,3931534,0,3773111,19,100952,57471,21-27May,116,25081137,12125,1662,0,13.7%,137,,,,178086,36789,20.66%,2.6%,181,0.5%,11399635,13681502,5071,7054,5256,,,35794074,49546,35052584,741490,0,0,42781,-1,-26,810
24-05-2022,3935761,0,3780159,50,101002,54600,21-27May,116,25108084,26947,4227,0,15.7%,157,,,,180608,35920,19.89%,2.6%,190,0.5%,11412734,13695350,13099,13848,5131,,,35849352,55278,35107844,741508,0,0,41774,-6,-33,811
25-05-2022,3941045,0,3784925,41,101043,55077,21-27May,116,25138638,30554,5284,0,17.3%,173,,,,175010,33025,18.87%,2.6%,176,0.5%,11427714,13710924,14980,15574,4718,,,35903813,54461,35162294,741519,0,0,40888,11,-38,812
26-05-2022,3944845,0,3793500,49,101092,50253,21-27May,116,25164138,25500,3800,0,14.9%,149,,,,171311,29587,17.27%,2.6%,194,0.7%,11439427,13724711,11713,13787,4227,,,35959268,55455,35217741,741527,0,0,39907,-19,-43,813
27-05-2022,3948119,0,3798049,36,101128,48942,28May-3Jun,117,25187804,23666,3274,0,13.8%,138,162226,26486,6,162226,26486,16.33%,2.6%,212,0.8%,11450270,13737534,10843,12823,3784,,,36020076,60808,35278548,741528,0,0,41021,-11,-49,814
28-05-2022,3952193,0,3802082,14,101142,48969,28May-3Jun,117,25216582,28778,4074,0,14.2%,142,,,,166830,25541,15.31%,2.6%,211,0.8%,0,0,0,0,3649,,,36015744,-4332,35274198,741546,0,0,39297,-9,-49,815
29-05-2022,3953967,0,3803725,4,101146,49096,28May-3Jun,117,25231997,15415,1774,0,11.5%,115,,,,162985,24095,14.78%,2.6%,213,0.9%,0,0,0,0,3442,,,36020076,4332,35278520,741556,0,0,39364,-11,-52,816
30-05-2022,3954971,0,3808079,16,101162,45730,28May-3Jun,117,25242686,10689,1004,0,9.4%,94,,,,161549,23437,14.51%,2.6%,210,0.9%,11479036,13763650,4487,6202,3348,,,36063285,43209,35321724,741561,0,0,38459,-17,-51,817
31-05-2022,3957777,0,3812563,28,101190,44024,28May-3Jun,117,25264922,22236,2806,0,12.6%,126,,,,156838,22016,14.04%,2.6%,188,0.9%,11489007,13775915,9971,12265,3145,,,36105946,42661,35364383,741563,0,0,36656,-27,-52,818
01-06-2022,3960424,0,3817002,29,101219,42203,28May-3Jun,117,25288429,23507,2647,0,11.3%,113,,,,149791,19379,12.94%,2.6%,176,0.9%,11499015,13789414,10008,13499,2768,,,36148904,42958,35407331,741573,0,0,35013,-34,-56,819
02-06-2022,3963394,0,3821550,31,101250,40594,28May-3Jun,117,25314119,25690,2970,0,11.6%,116,,,,149981,18549,12.37%,2.6%,158,0.9%,11513642,13800477,14627,11063,2650,,,36192016,43112,35450410,741606,0,0,33250,-8,-56,820
03-06-2022,3965422,0,3830585,35,101285,33552,4-10Jun,118,25334835,20716,2028,0,9.8%,98,147031,17303,8,147031,17303,11.77%,2.6%,157,0.9%,11524391,13810444,10749,9967,2472,,,36230916,38900,35489305,741611,0,0,30120,-12,-56,821
04-06-2022,3967078,0,3833813,28,101313,31952,4-10Jun,118,25353130,18295,1656,0,9.1%,91,,,,136548,14885,10.90%,2.6%,171,1.1%,0,0,0,0,2126,,,36238288,7372,35496674,741614,0,0,31792,-4,-61,822
05-06-2022,3969205,0,3836337,4,101317,31551,4-10Jun,118,25366718,13588,2127,0,15.7%,157,,,,134721,15238,11.31%,2.6%,171,1.1%,0,0,0,0,2177,,,36240713,2425,35499099,741614,0,0,31520,-6,-59,823
06-06-2022,3968931,0,3839858,33,101350,27723,4-10Jun,118,25376754,10036,-274,0,-2.7%,-27,,,,134068,13960,10.41%,2.6%,188,1.3%,11543291,13833463,4108,5928,1994,,,36277964,37251,35536352,741612,0,0,30668,-1,-61,824
07-06-2022,3970993,0,3844040,47,101397,25556,4-10Jun,118,25400217,23463,2062,0,8.8%,88,,,,135295,13216,9.77%,2.6%,207,1.6%,11556038,13844179,12747,10716,1888,,,36319056,41092,35577437,741619,0,0,30444,18,-60,825
08-06-2022,3973086,0,3846597,27,101424,25065,4-10Jun,118,25424031,23814,2093,0,8.8%,88,,,,135602,12662,9.34%,2.6%,205,1.6%,11568102,13855929,12064,11750,1809,,,36363675,44619,35622051,741624,0,0,30682,6,-57,826
09-06-2022,3975061,0,3849717,0,101424,23920,4-10Jun,118,25446806,22775,1975,0,8.7%,87,,,,132687,11667,8.79%,2.6%,174,1.5%,11580468,13866338,12366,12366,1667,,,36406003,42328,35664381,741622,0,0,30570,-18,-56,827
10-06-2022,3976653,0,3851856,44,101468,23329,11-17Jun,119,25467671,20865,1592,0,7.6%,76,132836,11231,12,132836,11231,8.45%,2.6%,183,1.6%,11591921,13875750,11453,9412,1604,,,36441778,35775,35700156,741622,0,0,30123,-13,-56,828
11-06-2022,3977628,0,3853669,9,101477,22482,11-17Jun,119,25480679,13008,975,0,7.5%,75,,,,127549,10550,8.27%,2.6%,164,1.6%,0,0,0,0,1507,,,36446543,4765,35704916,741627,0,0,29751,-23,-56,829
12-06-2022,3978590,0,3854873,7,101484,22233,11-17Jun,119,25495097,14418,962,0,6.7%,67,,,,128379,9385,7.31%,2.6%,167,1.8%,0,0,0,0,1341,,,36448670,2127,35707043,741627,0,0,29708,-20,-60,830
13-06-2022,3979126,0,3856957,41,101509,20660,11-17Jun,119,25504687,37016,536,0,1.4%,14,,,,155359,10195,6.56%,2.6%,175,1.7%,11609888,13894799,4422,5168,1456,,,36484428,42650,35742795,741633,0,0,30479,-7,-54,831
