location_key,date,place_id,wikidata_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
ZA_WC,2020-01-27,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,18.466667,12.711111,25.477778,0.2032,10.605556,60.680544
ZA_WC,2020-01-28,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,20.6,13.144444,28.183333,0.0,12.805556,62.62815
ZA_WC,2020-01-29,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,20.794444,16.605556,27.844444,0.2032,14.855556,69.275071
ZA_WC,2020-01-30,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,22.911111,17.166667,30.772222,0.0508,14.583333,60.651434
ZA_WC,2020-01-31,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,21.955556,17.333333,31.005556,0.0,16.505556,71.997213
ZA_WC,2020-02-01,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,23.194444,18.511111,29.516667,0.0,16.822222,68.400788
ZA_WC,2020-02-02,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,24.661111,20.033333,32.172222,0.0254,18.377778,69.571777
ZA_WC,2020-02-03,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,24.944444,19.577778,31.944444,0.0508,19.505556,73.201795
ZA_WC,2020-02-04,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,26.361111,21.461111,32.75,0.0,19.411111,67.486261
ZA_WC,2020-02-05,ChIJ841peohdzB0Ri6I2IY95juk,Q127167,ZA,South Africa,WC,Western Cape,ZA,ZAF,1,,,,,,7113776,3691344,3683467,1222161,1122560,1279498,1299900,1019290,698674,465158,205867,61704,80501,-34.0,20.0,129462,,,,,,,22.524691,17.975309,32.438272,0.0,16.030864,67.500819
